Date,Open,High,Low,Close,Volume
2019-01-14,5261.65,5265.3,5224.1,5236.8,
2019-01-15,5253.0,5287.05,5252.6,5284.65,
2019-01-16,5293.75,5319.35,5289.55,5295.55,
2019-01-17,5309.4,5318.3,5267.45,5278.2,
2019-01-18,5287.25,5287.8,5224.75,5229.4,
2019-01-21,5234.55,5238.9,5181.2,5189.15,
2019-01-22,5187.55,5187.8,5140.1,5157.7,
2019-01-23,5163.15,5178.35,5145.15,5150.3,
2019-01-24,5160.05,5163.25,5126.25,5130.5,
2019-01-25,5142.9,5155.85,5051.45,5057.65,
2019-01-28,5054.5,5056.8,4957.9,4964.75,
2019-01-29,4954.35,4985.1,4940.75,4971.6,
2019-01-30,4985.4,5001.9,4978.0,4993.9,
2019-01-31,5009.75,5023.95,4993.4,5021.6,
2019-02-01,5038.45,5069.6,4998.65,5024.7,
2019-02-04,5022.05,5022.5,4939.5,4951.3,
2019-02-05,4951.15,4964.35,4895.6,4906.45,
2019-02-06,4921.65,4924.2,4860.85,4918.9,
2019-02-07,4922.65,4965.3,4915.8,4950.95,
2019-02-08,4945.35,4945.4,4891.05,4895.45,
2019-02-11,4892.6,4894.25,4813.05,4817.85,
2019-02-12,4814.6,4827.8,4795.95,4803.6,
2019-02-13,4815.3,4823.3,4770.1,4777.8,
2019-02-14,4765.45,4779.7,4731.7,4775.25,
2019-02-15,4773.4,4775.95,4727.25,4736.15,
2019-02-18,4746.3,4749.55,4687.8,4695.1,
2019-02-19,4698.15,4737.45,4693.9,4711.85,
2019-02-20,4724.4,4765.7,4723.9,4758.3,
2019-02-21,4773.6,4812.35,4762.35,4809.0,
2019-02-22,4815.55,4852.35,4809.85,4847.15,
2019-02-25,4865.85,4890.5,4865.25,4885.2,
2019-02-26,4838.5,4877.15,4783.55,4856.6,
2019-02-27,4875.2,4948.35,4846.7,4865.9,
2019-02-28,4880.2,4915.0,4874.95,4907.55,
2019-03-01,4929.1,5024.75,4928.75,5022.65,
2019-03-05,5033.25,5211.05,5030.1,5207.25,
2019-03-06,5246.6,5286.4,5244.5,5261.95,
2019-03-07,5276.1,5282.45,5247.3,5258.15,
2019-03-08,5262.5,5283.0,5243.2,5253.8,
2019-03-11,5273.65,5356.2,5272.3,5352.65,
2019-03-12,5386.85,5427.05,5386.2,5410.25,
2019-03-13,5423.65,5426.05,5381.25,5390.65,
2019-03-14,5407.9,5417.65,5370.85,5388.15,
2019-03-15,5402.3,5426.15,5345.4,5360.25,
2019-03-18,5378.3,5392.15,5334.45,5351.35,
2019-03-19,5367.5,5388.3,5352.8,5374.95,
